,Carat,Cut,Polish,Symmetry,Colour_near colorless,Colour_yellow,Clarity_SI,Clarity_VS,Certification_GIA,Certification_others,Price
117,0.7046979865771812,1.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,2437
118,0.6845637583892619,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2438
119,0.7516778523489933,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2446
120,0.610738255033557,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3080
121,0.6308724832214765,1.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3082
122,0.6308724832214765,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,3082
123,0.7516778523489933,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3083
124,0.6375838926174497,0.5,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3084
125,0.7382550335570469,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3085
126,0.6174496644295302,0.25,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,0.0,3086
127,0.6375838926174497,1.0,0.6666666666666666,0.9999999999999999,0.0,1.0,1.0,0.0,0.0,0.0,3089
128,0.6241610738255033,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3089
129,0.7449664429530202,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3093
130,0.7449664429530202,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3093
131,0.6241610738255033,0.5,0.9999999999999999,0.9999999999999999,0.0,1.0,0.0,1.0,0.0,0.0,3093
132,0.6375838926174497,0.5,0.6666666666666666,0.9999999999999999,0.0,0.0,1.0,0.0,0.0,0.0,3093
133,0.6174496644295302,0.25,0.9999999999999999,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,3098
134,0.610738255033557,1.0,0.9999999999999999,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,3101
135,0.6174496644295302,0.25,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3102
136,0.610738255033557,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3105
137,0.6174496644295302,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3107
138,0.8993288590604026,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3108
139,0.610738255033557,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3108
140,0.610738255033557,0.5,0.6666666666666666,0.9999999999999999,0.0,1.0,1.0,0.0,0.0,0.0,3108
141,0.610738255033557,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3108
142,0.6845637583892619,1.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,1.0,0.0,3108
143,0.6174496644295302,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3108
144,0.6174496644295302,0.5,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3111
145,0.6174496644295302,1.0,0.6666666666666666,0.9999999999999999,0.0,1.0,1.0,0.0,0.0,0.0,3111
146,0.7046979865771812,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3112
147,0.691275167785235,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,3112
148,0.610738255033557,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3114
149,0.6174496644295302,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3118
